(Германия, воевала с, Великобритания)
(Германия, воевала с, Италия)
(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Германия, оккупировала, Брест-Литовск)
(Германия, подписала, Брест-Литовский договор)
(Германия, подписала, договор с Украиной)
(Леопольд Баварский, представляет, Германия)
(Россия, подписала, Брест-Литовский договор)

(Германия, аннексировала, Лотарингию)
(Германия, аннексировала, Эльзас)
(Германия, воевала с, Франция)
(Макс Вебер, назначен профессором, Фрайбургский университет)
(Россия, подписала, франко-русский союз)
(Франция, подписала, франко-русский союз)
(Фридрих Науманн, написал, Mitteleuropa)

(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Германия, претендовала на, Марокко)
(Германия, создала, флот)
(Италия, захватила, Ливия)
(Италия, захватила, острова у Анатолийского побережья)
(Италия, напала на, Османская Турция)
(Франция, заключила, Entente Cordiale)

(Германия, поддерживала, Австро-Венгрия)
(Греция, скооперировалась с, Великобритания)
(Россия, союзник, Великобритания)
(Сербия, скооперировалась с, Россия)
(Турция, закрыла, Дарданеллы)
(Энвер-паша, представляет, Германия)

(Австро-Венгрия, воевала с, Сербия)
(Австро-Венгрия, разорвала отношения с, Сербия)
(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Петр Столыпин, представляет, Россия)
(Россия, воевала с, Австро-Венгрия)
(Россия, воевала с, Германия)
(Россия, оккупировала, Бранденбург)
(Сербия, воевала с, Австро-Венгрия)
(Теобальд фон Бетман-Гольвег, представляет, Германия)

(Австро-Венгрия, воевала с, Россия)
(Австро-Венгрия, подписала, Брест-Литовский договор)
(Австро-Венгрия, представлял, граф Чернин)
(Гаврило Принцип, убил, Франц Фердинанд)
(Гаврило Принцип, умер в, тюрьма)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Германия, представлял, Бетман-Гольвег)
(Франц Фердинанд, умер в, Сараево)

(Австро-Венгрия, воевала с, Россия)
(Австро-Венгрия, воевала с, Сербия)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Германия, объявила войну, Россия)
(Германия, объявила войну, Франция)
(Уинстон Черчилль, представляет, Великобритания)

(Великобритания, воевала с, Бельгия)
(Великобритания, воевала с, Германия)
(Великобритания, воевала с, Франция)
(Германия, оккупировала, Бельгия)
(Франция, воевала с, Германия)

(Великобритания, воевала с, Германия)
(Франция, воевала с, Германия)
(Фредерик Шустер, представляет, Великобритания)
(Эдуард Грей, представляет, Великобритания)

(Германия, воевала с, Бельгия)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Франция, воевала с, Германия)

(Александр фон Клук, командует, Германия)
(Александр фон Клук, представляет, Германия)
(Бельгия, воевала с, Германия)
(Великобритания, воевала с, Германия)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Франция)
(Германия, оккупировала, Бельгия)
(Германия, оккупировала, Льеж)
(Жозеф Жоффр, командует, Франция)
(Жозеф Жоффр, представляет, Франция)
(Сэр Джон Френч, командует, Великобритания)
(Франция, воевала с, Германия)

(Германия, воевала с, Великобритания)
(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Германия, командует, Карл фон Бюлов)
(Германия, командует, Клук)
(Германия, командует, Мольтке)
(Германия, оккупировала, Восточная Пруссия)
(Германия, оккупировала, Марна)
(Россия, воевала с, Германия)
(Россия, оккупировала, Восточная Пруссия)
(Франция, командует, Жоффр)
(Франция, командует, Фердинанд Фош)

(Австро-Венгрия, воевала с, Россия)
(Александр Самсонов, командует, Россия)
(Битва при Танненберге, произошла в, Танненберг)
(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Максимилиан фон Притвиц, командует, Германия)
(Пауль фон Гинденбург, командует, Германия)
(Россия, воевала с, Австро-Венгрия)
(Россия, воевала с, Германия)
(Россия, оккупировала, Западная Украина)
(Россия, оккупировала, Южная Польша)
(Франц Конрад фон Гетцендорф, командует, Австро-Венгрия)
(Эрих Людендорф, командует, Германия)

(Австро-Венгрия, воевала с, Россия)
(Австро-Венгрия, воевала с, Сербия)
(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Россия, воевала с, Австро-Венгрия)
(Россия, воевала с, Германия)
(Сербия, воевала с, Австро-Венгрия)

(Бельгия, воевала с, Германия)
(Германия, воевала с, Бельгия)
(Германия, воевала с, Великобритания)
(Россия, воевала с, Австро-Венгрия)
(Россия, оккупировала, Львов)
(Эрих фон Фалькенгайн, командует, Германия)

(Германия, воевала с, Франция)
(Людендорф, командует, Германия)
(Османская империя, воевала с, Россия)
(Россия, воевала с, Австро-Венгрия)
(Россия, воевала с, Германия)
(Россия, объявила войну, Османская империя)
(Турция, воевала с, Россия)
(Энвер-паша, вторгся в, Россия)
(Энвер-паша, командует, Османская империя)
(Энвер-паша, представляет, Османская империя)
(Эрцгерцог Фридрих, командует, Австро-Венгрия)

(Германия, воевала с, Франция)

(Британия, воевала с, Османская империя)
(Великобритания, воевала с, Германия)
(Великобритания, воевала с, Османская империя)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Османская империя, воевала с, Великобритания)
(Фридрих Великий, воевал с, Австрия)
(Фридрих Великий, воевал с, Россия)
(Фридрих Великий, воевал с, Франция)

(Великобритания, воевала с, Германия)
(Великобритания, воевала с, Турция)
(Великобритания, оккупировала, Галлипольский полуостров)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Кемаль Ататюрк, командует, Турция)
(Талаат, представляет, Турция)
(Турция, оккупировала, Галлипольский полуостров)
(Франц фон Папен, представляет, Германия)
(Энвер, представляет, Турция)
(Эрих фон Фалькенгайн, командует, Германия)
(Ян Гамильтон, командует, Великобритания)

(Германия, воевала с, Великобритания)
(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Германия, использовала, отравляющий газ)
(Фалькенгайн, командует, Германия)
(Фалькенгайн, планировал операции в, Италия)
(Фалькенгайн, планировал операции в, Франция)
(Фалькенгайн, предпринял атаку в, Ипр)

(Австро-Венгрия, воевала с, Россия)
(Великобритания, воевала с, Германия)
(Георг фон дер Марвиц, командует, Германия)
(Германия, воевала с, Россия)
(Гинденбург, командует, Германия)
(Людендорф, командует, Германия)
(Фалькенгайн, командует, Германия)
(Франция, воевала с, Германия)

(Австро-Венгрия, воевала с, Россия)
(Германия, воевала с, Россия)
(Италия, воевала с, Австро-Венгрия)
(Италия, воевала с, Германия)
(Италия, подписала, Лондонский договор)
(Николай Иванов, командует, Россия)

(Август фон Макензен, командует, Германия)
(Австро-Венгрия, воевала с, Россия)
(Германия, воевала с, Россия)
(Германия, оккупировала, Варшава)
(Германия, оккупировала, Ковно)
(Германия, оккупировала, Львов)
(Германия, оккупировала, Перемышль)
(Макс фон Гальвиц, командует, Германия)
(Михаил Алексеев, командует, Россия)
(Россия, воевала с, Австро-Венгрия)
(Россия, воевала с, Германия)
(Ханс фон Безелер, командует, Германия)
(Ханс фон Зект, командует, Германия)

(Болгария, оккупировала, Сербия)
(Германия, воевала с, Россия)
(Германия, оккупировала, Вильно)
(Германия, оккупировала, Сербия)
(Макензен, командует, Германия)
(Фалькенгайн, командует, Германия)

(Германия, воевала с, Франция)
(Германия, оккупировала, Верден)
(Филипп Петен, командует, Франция)
(Франция, защищала, Верден)
(Франция, защищала, Дуомон)

(Россия, воевала с, Германия)

(Великобритания, воевала с, Германия)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Франция)
(Джон Джеллико, командует, Великобритания)
(Дуглас Хейг, командует, Великобритания)
(Франция, воевала с, Германия)

(А.А. Брусилов, воевал против, Австро-Венгрия)
(А.А. Брусилов, командует, Россия)
(Великобритания, воевала с, Германия)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Франция)
(Франция, воевала с, Германия)

(Австро-Венгрия, воевала с, Россия)
(Австро-Венгрия, командует, Иосиф Фердинанд)
(Австро-Венгрия, командует, Карл фон Пфланцер-Балтин)
(Брусилов, командует, Россия)
(Россия, воевала с, Австро-Венгрия)
(Россия, воевала с, Германия)

(Австро-Венгрия, воевала с, Россия)
(Владимир Безобразов, командует, Россия)
(Германия, воевала с, Россия)
(Дэвид Ллойд Джордж, представляет, Великобритания)
(Россия, воевала с, Австро-Венгрия)
(Россия, воевала с, Германия)
(Румыния, воевала с, Центральные державы)
(Франц Иосиф, представляет, Австро-Венгрия)
(Франц Иосиф, родился в, 1830)
(Франц Иосиф, умер в, 21 ноября 1916)

(Вудро Вильсон, представляет, США)
(Германия, воевала с, Великобритания)
(Германия, воевала с, США)
(Германия, воевала с, Франция)
(Германия, объявила, неограниченная подводная война)
(Робер Нивель, командует, Франция)

(Германия, воевала с, Великобритания)
(Германия, объявила, неограниченная подводная война)
(Германия, оккупировала, Бельгия)
(Германия, потопила, Лузитания)
(Соединенные Штаты, выразили протест, Германия)

(Артур Циммерман, подписал, Телеграмма Циммермана)
(Британия, субсидировала, Россия)
(Вильсон, объявил войну, Германия)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Франция)
(Дуглас Хейг, командует, Великобритания)
(Робер Нивель, командует, Франция)
(Соединенные Штаты, воевала с, Германия)
(Соединенные Штаты, разорвала отношения с, Германия)
(Эрнст Резерфорд, представляет, Новая Зеландия)

(Великобритания, воевала с, Германия)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Франция)
(Ллойд Джордж, представляет, Великобритания)
(Нивель, командует, Франция)
(Нивель, представляет, Франция)
(Нивель, родился в, Англия)
(Франция, воевала с, Германия)
(Хейг, представляет, Великобритания)

(Германия, воевала с, Россия)
(Жорж Клемансо, представляет, Франция)
(Николай II, представляет, Россия)
(Россия, воевала с, Германия)
(Филипп Петен, командует, Франция)
(Франция, воевала с, Германия)

(Великобритания, воевала с, Германия)
(Италия, воевала с, Австро-Венгрия)
(Ленин, представляет, Россия)
(Россия, воевала с, Австро-Венгрия)
(Россия, воевала с, Германия)
(Франция, воевала с, Германия)

(Британия, воевала с, Германия)
(Герберт Пламер, командует, 2-я армия)
(Герберт Пламер, командует, Британия)
(Германия, оккупировала, Зеебрюгге)
(Германия, оккупировала, Ипр)
(Германия, оккупировала, Мессин)
(Хейг, командует, Британия)



(Германия, воевала с, Италия)
(Германия, воевала с, Россия)
(Италия, воевала с, Австрия)
(Луиджи Кадорна, представляет, Италия)
(Отто фон Белов, командует, Германия)
(Фердинанд Шернер, представляет, Германия)
(Эрвин Роммель, представляет, Германия)

(Австро-Венгрия, воевала с, Италия)
(Германия, воевала с, Италия)
(Луиджи Кадорна, командует, Италия)
(Луиджи Капелло, командует, Италия)
(Пьетро Бадольо, командует, Италия)
(Пьетро Бадольо, представляет, Италия)
(Рихард фон Берендт, командует, Германия)
(Центральные державы, воевала с, Италия)
(Эрвин Роммель, командует, Германия)

(Австро-Венгрия, воевала с, Италия)
(Австро-Венгрия, воевала с, Россия)
(Армандо Диац, командует, Италия)
(Германия, воевала с, Италия)
(Германия, воевала с, Россия)
(Италия, воевала с, Австро-Венгрия)
(Италия, воевала с, Германия)

(Германия, воевала с, Россия)
(Германия, оккупировала, Прибалтика)
(Германия, подписала, сепаратный мир с Украиной)
(Ленин, представляет, Россия)
(Ллойд Джордж, представляет, Великобритания)
(Рихард фон Кюльман, представляет, Германия)

(Вильсон, подписал, Четырнадцать пунктов)
(Георг фон де Марвиц, командует, Германия)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Франция)
(Гитлер, представляет, Германия)
(Гоф, командует, Великобритания)
(Кюльман, представляет, Германия)
(Оскар фон Гутьер, командует, Германия)
(Отто фон Белов, командует, Германия)

(Бинг, командует, Великобритания)
(Великобритания, отступила к, Амьен)
(Великобритания, отступила к, Сомма)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Франция)
(Германия, оккупировала, Амьен)
(Германия, оккупировала, Ла-Фер)
(Германия, оккупировала, Сен-Кантен)
(Гоф, командует, Великобритания)
(Людендорф, командует, Германия)
(Фош, командует, Франция)

(Великобритания, воевала с, Германия)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Италия)
(Германия, воевала с, Португалия)
(Германия, воевала с, США)
(Германия, воевала с, Франция)
(Германия, оккупировала, Кеммель)
(Германия, оккупировала, Марна)
(Германия, оккупировала, Мессин)
(Германия, оккупировала, Пашендаль)
(Германия, оккупировала, Шмен-де-Дам)
(Дени Огюст Дюшен, командует, Франция)
(Португалия, воевала с, Германия)
(США, воевала с, Германия)
(Франция, воевала с, Германия)
(Ханс фон Бён, командует, Германия)
(Эрих Людендорф, командует, Германия)

(Австралия, воевала с, Германия)
(Артур Карри, командует, Канада)
(Великобритания, воевала с, Германия)
(Генри Ролинсон, командует, Великобритания)
(Германия, воевала с, Австралия)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Канада)
(Германия, воевала с, США)
(Германия, воевала с, Франция)
(Джон Монаш, командует, Австралия)
(Кайзер, представляет, Германия)
(Канада, воевала с, Германия)
(Людендорф, командует, Германия)
(США, воевала с, Германия)
(Франция, воевала с, Германия)
(Шарль Манжен, командует, Франция)
(Эжен Мари Дебени, командует, Франция)

(Германия, воевала с, Австралия)
(Германия, воевала с, Бельгия)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Канада)
(Германия, воевала с, США)
(Германия, воевала с, Франция)

(Болгария, запросила, мир)
(Венгрия, провозгласила, независимость)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Франция)
(Германия, вторглась в, Австрия)
(Германия, контролировала, Россия)
(Германия, контролировала, Турция)
(Маттиас Эрцбергер, изъявил желание принять, Четырнадцать пунктов)
(Османская армия, ушла из, Сирия)
(Союзнические войска, разгромили, Болгария)
(Турция, оказалась отрезанной от, Германия)
(Филипп Шейдеман, изъявил желание принять, Четырнадцать пунктов)

(Германия, воевала с, Великобритания)
(Германия, подписала, Компьенское перемирие)
(Компьенское перемирие, подписано, 11 ноября 1918)

(Великобритания, подписала, Версальский договор)
(Версальский договор, подписан в, Версаль)
(Версальский договор, подписан, 28 июня 1919 года)
(Вудро Вильсон, подписал, Версальский договор)
(Вудро Вильсон, представляет, США)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Франция)
(Германия, отдала территории, Польша)
(Германия, подписала, Версальский договор)
(Севрский договор, подписан, 1920 год)
(Турция, подписала, Лозаннский договор)
(Франция, подписала, Версальский договор)

(Германия, воевала с, Франция)
(Гинденбург, представляет, Германия)
(Гитлер, представляет, Германия)
(Ллойд Джордж, представляет, Великобритания)
(Людендорф, представляет, Германия)

