1. (Германия, заключила, Брест-Литовский договор)
2. (Германия, подписала, договор с Украиной)
3. (Брест-Литовск, место подписания, Брест-Литовский договор)
4. (Брест-Литовск, место подписания, договор с Украиной)
5. (Германия, воевала с, Италия)
6. (Германия, воевала с, Великобритания)
7. (Фердинанд Порше, разработал, полноприводная тяга)
8. (Уинстон Черчилль, противостоял, Германия)
9. (Российская Советская Федеративная Социалистическая Республика, подписала, Брест-Литовский договор)
10. (Германия, оккупировала, Украина)

(Фридрих Науманн, разработал, Mitteleuropa)  
(Вильгельм II, представляет, Германия)  
(Германия, воевала с, Франция)  
(Германия, оккупировала, Эльзас)  
(Германия, оккупировала, Лотарингия)  
(Франция, заключила союз с, Россия)  
(Макс Вебер, представляет, Германия)  
(Австрия, заключила союз с, Германия)

(Германия, создала, флот)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Россия)  
(Великобритания, заключила союз с, Франция)  
(Великобритания, заключила союз с, Россия)  
(Великобритания, оккупировала, Египет)  
(Франция, оккупировала, Северная Африка)  
(Италия, напала на, Османская Турция)  
(Италия, оккупировала, Ливия)  
(Италия, оккупировала, острова у Анатолийского побережья)  
(Франция, заключила, Entente Cordiale)  
(Entente Cordiale, дата подписания, 1904)  
(Великобритания, заключила, Entente Cordiale)  
(Германия, претендовала на, Марокко)  
(Италия, претендовала на, турецкие территории)

1. (Сербия, заключила союз с, Россия)
2. (Греция, заключила союз с, Великобритания)
3. (Османская империя, воевала с, Сербия)
4. (Османская империя, воевала с, Греция)
5. (Энвер-паша, представляет, Османская империя)
6. (Энвер-паша, противостоял, Франция)
7. (Энвер-паша, противостоял, Великобритания)
8. (Лиман фон Сандерс, командует, Османская империя)
9. (Германия, заключила союз с, Австро-Венгрия)
10. (Россия, противостоял, Германия)
11. (Россия, противостоял, Австро-Венгрия)
12. (Германия, оккупировала, Османская империя)
13. (Россия, заключила союз с, Великобритания)
14. (Россия, заключила союз с, Франция)
15. (Германия, воевала с, Россия)

(Теобальд фон Бетман-Гольвег, представляет, Германия)  
(Петр Столыпин, представляет, Россия)  
(Германия, воевала с, Россия)  
(Германия, воевала с, Франция)  
(Россия, воевала с, Австро-Венгрия)  
(Германия, заключила союз с, Австро-Венгрия)  
(Граф Шлиффен, разработал, План Шлиффена)  
(Берлин, место подписания, Версальский договор)  
(Россия, вступила в войну, 1914)  
(Австро-Венгрия, воевала с, Сербия)

1. (Франц Фердинанд, умер в, Сараево)
2. (Гаврило Принцип, противостоял, Франц Фердинанд)
3. (Гаврило Принцип, умер в, тюрьма)
4. (Австро-Венгрия, воевала с, Россия)
5. (Германия, воевала с, Россия)
6. (Германия, воевала с, Антанта)
7. (Бетман-Гольвег, представляет, Германия)

(Австро-Венгрия, объявила войну, Сербия)  
(Германия, объявила войну, Россия)  
(Германия, объявила войну, Франция)  
(Германия, вторглась, Бельгия)  
(Великобритания, вступила в войну, 1914)  
(Уинстон Черчилль, представляет, Великобритания)  
(Германия, воевала с, Великобритания)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Россия)  
(Германия, воевала с, Бельгия)  
(Россия, воевала с, Австро-Венгрия)  
(Россия, воевала с, Германия)  
(Франция, воевала с, Германия)  
(Великобритания, воевала с, Германия)  
(Сербия, воевала с, Австро-Венгрия)

(Великобритания, вступила в войну, 1914-08-04)

1. (Эдуард Грей, представляет, Великобритания)
2. (Великобритания, вступила в войну, 1914-08-03)
3. (Франция, разработал, новый метод ведения войны)
4. (Луи Фердинанд Селин, представляет, Франция)

1. (Германия, воевала с, Франция)
2. (Германия, воевала с, Бельгия)
3. (Германия, воевала с, Великобритания)
4. (Германия, воевала с, Россия)
5. (Германия, разработал, План Шлиффена)
