

(Австро-Венгрия, распадается, из-за национализма)
(Германия, планировала, нападение на Францию)
(Граф Шлиффен, разработал, План Шлиффена)
(Петр Столыпин, представляет, Россия)
(Россия, индустриализация, после 1908 года)
(Россия, наращивает, военные мускулы)
(Россия, прогрессировала в, экономика)
(Россия, увеличила, железнодорожная сеть)
(Сербия, пробудила, антиавстрийские движения)
(Сербия, участвовала в, Балканские войны)
(Теобальд фон Бетман-Гольвег, противостоял, Россия)


(Варшава, место подписания, немецкого наступления)
(Германия, оккупировала, Россия)
(Османская армия, участвовала в, Восточный фронт)
(Османская империя, воевала с, Россия)
(Османская империя, вступила в войну, 1914)
(Османская империя, контролировалась, прогерманские группировки)
(Россия, воевала с, Германия)
(Энвер-паша, вторгся в, Россия)
(Энвер-паша, командует, Османская армия)
(Энвер-паша, представляет, Османская империя)
(Энвер-паша, противостоял, Россия)
(Эрих Людендорф, командует, Германская армия)
(Эрих Людендорф, представляет, Германия)
(Эрих Людендорф, противостоял, Россия)
(Эрих Людендорф, участвовал в, Восточный фронт)



(Британия, ввела воинскую повинность, 1916)
(Британия, воевала с, Османская империя)
(Британия, вступила в войну, 1914)
(Британия, выдала кредиты, Италия)
(Британия, выдала кредиты, Россия)
(Британия, заблокировала, Германия)
(Британия, предложила, Россия)
(Британия, предоставила кредиты, Италия)
(Британия, предоставила кредиты, Россия)
(Великобритания, воевала с, Османская империя)
(Великобритания, заблокировала, Германия)
(Германия, оккупировала, Османская империя)
(Германия, поддерживала, Османская империя)
(Османская армия, потерпела поражение, Кавказ)
(Руперт Брук, упомянут, Эгейское побережье)













