(Брест-Литовск, место подписания, Брест-Литовский мирный договор)  
(Леопольд Баварский, представляет, Германия)  
(Мадам Биценко, представляет, Российская Советская Федеративная Социалистическая Республика)  
(Германия, заключила, Брест-Литовский мирный договор)  
(Германия, воевала с, Россия)  
(Германия, оккупировала, Брест-Литовские государства)  
(Фердинанд Порше, разработал, полноприводная тяга)  
(Германия, воевала с, Италия)  
(Германия, воевала с, Великобритания)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Российская империя)  
(Германия, воевала с, Российская Советская Федеративная Социалистическая Республика)  
(Германия, воевала с, Соединенные Штаты)  
(Германия, воевала с, Канада)  
(Германия, воевала с, Центральные державы)

(Фридрих Науманн, разработал, Mitteleuropa)  
(Вильгельм II, представляет, Германия)  
(Германия, воевала с, Франция)  
(Германия, заключила союз с, Австрия)  
(Франция, заключила союз с, Россия)  
(Бисмарк, противостоял, Франция)  
(Бисмарк, противостоял, Россия)  
(Германия, разорвала дипломатические отношения, Британия)  
(Германия, оккупировала, Эльзас)  
(Германия, оккупировала, Лотарингию)  
(Макс Вебер, представляет, Германия)  
(Германия, воевала с, Британия)  
(Германия, воевала с, Россия)  
(Германия, воевала с, Турция)  
(Германия, воевала с, Австрия)

(Вебер, противостоял, ультрапатриотам)
(Германия, воевала с, Франция)
(Германия, воевала с, Россия)
(Британия, заключила союз с, Франция)
(Британия, заключила союз с, Россия)
(Италия, оккупировала, Ливия)
(Италия, воевала с, Османская Турция)

(Лиман фон Сандерс, командует, Османская империя)
(Энвер-паша, представляет, Германия)
(Германия, оккупировала, Османская империя)
(Германия, заключила союз с, Османская империя)
(Россия, воевала с, Османская империя)
(Россия, заключила союз с, Сербия)
(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Германия, воевала с, Великобритания)
(Австро-Венгрия, воевала с, Россия)
(Австро-Венгрия, заключила союз с, Германия)
(Россия, заключила союз с, Великобритания)
(Россия, заключила союз с, Франция)
(Сэр Артур Николсон, представляет, Великобритания)
(Энвер-паша, противостоял, Франция)

(Теобальд фон Бетман-Гольвег, представляет, Германия)  
(Петр Столыпин, представляет, Россия)  
(Шлиффен, разработал, План Шлиффена)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Россия)  
(Австро-Венгрия, воевала с, Сербия)  
(Сербия, воевала с, Австро-Венгрия)

(Франц Фердинанд, умер в, Сараево)  
(Гаврило Принцип, противостоял, Франц Фердинанд)  
(Гаврило Принцип, умер в, тюрьма)  
(Бетман-Гольвег, представляет, Германия)  
(Оскар Потиорек, противостоял, Франц Фердинанд)  
(Германия, воевала с, Россия)  
(Австро-Венгрия, воевала с, Россия)  
(Германия, воевала с, Антанта)  
(Бисмарк, представляет, Германия)  
(Курт Рицлер, подчинён, Бетман-Гольвег)

(Германия, объявила войну, Россия)
(Германия, объявила войну, Франция)
(Германия, вторглась в, Бельгия)
(Уинстон Черчилль, представляет, Великобритания)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Франция)
(Германия, воевала с, Россия)
(Германия, воевала с, Бельгия)
(Германия, воевала с, Англия)
(Германия, воевала с, Япония)
(Германия, оккупировала, Франция)
(Германия, оккупировала, Бельгия)
(Германия, разорвала дипломатические отношения, Россия)
(Германия, разорвала дипломатические отношения, Франция)
(Германия, разорвала дипломатические отношения, Великобритания)

(Великобритания, вступила в войну, 1914-08-04)

(Клари-Альдринген, умер в, Букингемский дворец)  
(Эдуард Грей, представляет, Великобритания)  
(Эдуард Грей, противостоял, Германия)  
(Фредерик Шустер, представляет, Англия)  
(Телески, представляет, Венгрия)  
(Россия, воевала с, Германия)  
(Россия, воевала с, Австро-Венгрия)  
(Россия, воевала с, Италия)  
(Россия, воевала с, Бельгия)  
(Россия, воевала с, Франция)  
(Россия, воевала с, Великобритания)  
(Россия, воевала с, Северная Франция)  
(Россия, воевала с, Европейский континент)  
(Россия, воевала с, Европа)  
(Россия, воевала с, Мёз)

(Германия, воевала с, Франция)  
(Германия, воевала с, Бельгия)  
(Германия, воевала с, Россия)  
(Германия, воевала с, Великобритания)  
(Шлиффен, разработал, План Шлиффена)  
(Франция, воевала с, Германия)  
(Франция, заключила союз с, Великобритания)  
(Франция, заключила союз с, Бельгия)  
(Германия, оккупировала, Бельгия)  
(Хан Нахичеванский, представляет, Россия)  
(Германия, вступила в войну, 1914)  
(Франция, вступила в войну, 1914)  
(Бельгия, вступила в войну, 1914)  
(Восточная Пруссия, место подписания, Версальский договор)  
(Париж, место подписания, Версальский договор)

(Жозеф Жоффр, командовал, Франция)
(Жозеф Жоффр, противостоял, Германия)
(Александр фон Клук, командовал, Германия)
(Джон Френч, командовал, Великобритания)
(Шарль Ланрезак, командовал, Франция)
(Германия, воевала с, Франция)
(Германия, воевала с, Великобритания)
(Германия, оккупировала, Бельгия)
(Германия, оккупировала, Льеж)
(Германия, оккупировала, Намюр)
(Германия, оккупировала, Лотарингия)
(Германия, оккупировала, Арденны)
(Германия, оккупировала, Мец)
(Германия, оккупировала, Тионвиль)
(Германия, оккупировала, Моранж)

(Мольтке, командовал, Германия)
(Клук, командовал, 1-я армия)
(Карл фон Бюлов, командовал, 2-я армия)
(Фердинанд Фош, командовал, 9-я армия)
(Жоффр, командовал, Франция)
(Сэр Джон Френч, командовал, Британские экспедиционные силы)
(Китченер, представляет, Великобритания)
(Франция, воевала с, Германия)
(Россия, воевала с, Германия)
(Россия, оккупировала, Восточная Пруссия)
(Россия, вступила в войну, 1914)
(Восточная Пруссия, место подписания, Версальский договор)
(Париж, место подписания, Версальский договор)
(Марна, место подписания, Версальский договор)
(Эна, место подписания, Версальский договор)

(Александр Самсонов, командует, Россия)  
(Максимилиан фон Притвиц, противостоял, Александр Самсонов)  
(Пауль фон Гинденбург, командует, Германия)  
(Эрих Людендорф, командует, Германия)  
(Пауль фон Гинденбург, противостоял, Александр Самсонов)  
(Эрих Людендорф, противостоял, Александр Самсонов)  
(Франц Конрад фон Гетцендорф, командует, Австро-Венгрия)  
(Франц Конрад фон Гетцендорф, противостоял, Россия)  
(Россия, воевала с, Германия)  
(Россия, воевала с, Австро-Венгрия)  
(Германия, воевала с, Россия)  
(Австро-Венгрия, воевала с, Россия)  
(Германия, воевала с, Франция)  
(Россия, воевала с, Австро-Венгрия)  
(Россия, воевала с, Германия)

(Гетцендоф, командует, Австро-Венгрия)  
(Конрад, командует, Австро-Венгрия)  
(Австро-Венгрия, воевала с, Сербия)  
(Австро-Венгрия, воевала с, Россия)  
(Россия, воевала с, Австро-Венгрия)  
(Потиорек, командовал, Конрад)  
(Конрад, противостоял, Потиорек)  
(Гетцендоф, противостоял, Россия)  
(Австро-Венгрия, оккупировала, Сербия)  
(Россия, воевала с, Германия)  
(Германия, воевала с, Россия)  
(Германия, воевала с, Сербия)  
(Сербия, воевала с, Германия)  
(Сербия, воевала с, Австро-Венгрия)  
(Австро-Венгрия, воевала с, Германия)

(Русские войска, заняли, Львов)  
(Эрих фон Фалькенгайн, заменил, Мольтке)  
(Британцы, отстояли, Ипр)  
(Германия, стремилась овладеть, Бельгией)  
(Бельгия, потеряла, треть армии)  
(Германия, воевала с, Бельгия)  
(Россия, могла призвать, миллионы людей)  
(Россия, население, 170 миллионов)  
(Германия, население, меньше чем у России)  
(Австро-Венгрия, население, меньше чем у России)

(Людендорф, противостоял, Конрад)  
(Энвер-паша, вторгся в, Россия)  
(Энвер-паша, противостоял, Царь)  
(Кемаль Ататюрк, противостоял, Энвер-паша)  
(Россия, воевала с, Турция)  
(Германия, воевала с, Россия)  
(Франция, воевала с, Германия)  
(Турция, воевала с, Россия)  
