(Германия, воевала с, Великобритания)
(Германия, воевала с, Италия)
(Леопольд Баварский, представляет, Германия)
(Мадам Биценко, представляет, Российская Советская Федеративная Социалистическая Республика)
(Уинстон Черчилль, противостоял, Германия)
(Фердинанд Порше, разработал, полноприводная тяга)

(Бисмарк, противостоял, Франция)
(Вильгельм II, представляет, Германия)
(Германия, воевала с, Франция)
(Германия, заключила союз с, Австрия)
(Франция, заключила союз с, Россия)
(Фридрих Науманн, разработал, Mitteleuropa)

(Британия, оккупировала, Египет)
(Германия, воевала с, Россия)
(Италия, оккупировала, Ливия)

(Германия, воевала с, Россия)
(Лиман фон Сандерс, командует, Османская империя)

(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Петр Столыпин, представляет, Россия)
(Россия, воевала с, Германия)
(Теобальд фон Бетман-Гольвег, представляет, Германия)
(Шлиффен, разработал, План Шлиффена)

(Франц Фердинанд, умер в, Сараево)

(Германия, воевала с, Великобритания)
(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Германия, оккупировала, Бельгия)



(Эдуард Грей, представляет, Великобритания)

(Германия, воевала с, Бельгия)
(Германия, воевала с, Франция)
(Хан Нахичеванский, представляет, Россия)
(Шлиффен, разработал, План Шлиффена)

(Александр фон Клук, командует, Германия)
(Германия, оккупировала, Бельгия)
(Жозеф Жоффр, представляет, Франция)
(Жозеф Жоффр, противостоял, Александр фон Клук)

(Россия, воевала с, Германия)

(Австро-Венгрия, воевала с, Россия)
(Александр Самсонов, командует, Россия)
(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Максимилиан фон Притвиц, противостоял, Александр Самсонов)
(Пауль фон Гинденбург, командует, Германия)
(Пауль фон Гинденбург, противостоял, Александр Самсонов)
(Россия, воевала с, Австро-Венгрия)
(Россия, воевала с, Германия)
(Франц Конрад фон Гетцендорф, командует, Австро-Венгрия)
(Франц Конрад фон Гетцендорф, противостоял, Россия)
(Эрих Людендорф, командует, Германия)
(Эрих Людендорф, противостоял, Александр Самсонов)

(Австро-Венгрия, воевала с, Сербия)
(Конрад, командует, Австро-Венгрия)
(Конрад, противостоял, Потиорек)
(Россия, воевала с, Австро-Венгрия)



(Людендорф, противостоял, Конрад)
(Энвер-паша, вторгся в, Россия)

(Британия, воевала с, Германия)
(Германия, воевала с, Британия)
(Наполеон, противостоял, Британия)
(Наполеон, противостоял, Испания)
(Наполеон, противостоял, Португалия)
(Уинстон Черчилль, представляет, Британия)

(Британия, предложила, Константинополь)

(Руперт Брук, умер в, Египет)
(Франц фон Папен, противостоял, США)
(Эрих фон Фалькенгайн, противостоял, Мольтке)
(Ян Гамильтон, командует, Великобритания)

(Фалькенгайн, представляет, Германия)
(Фалькенгайн, противостоял, Конрад)

(Людендорф, противостоял, Фалькенгайн)

(Август фон Макензен, командует, 11-я армия)
(Италия, вступила в войну, 1915-05-23)
(Италия, заключила, Лондонский договор)
(Николай Иванов, командует, Юго-Западный фронт)
(Россия, воевала с, Германия)

(Фалькенгайн, встретился, Ханс фон Зект)

(Людендорф, противостоял, Фалькенгайн)

(Фридрих фон дер Шуленбург, представляет, Германия)

(Нивель, командовал, Франция)
(Франция, воевала с, Германия)

(Джон Джеллико, представляет, Великобритания)
(Дуглас Хейг, командует, Великобритания)
(Дуглас Хейг, представляет, Великобритания)
(Франция, воевала с, Германия)
(Ютландское, место подписания, Ютландское сражение)



(Брусилов, противостоял, Эрцгерцог Иосиф Фердинанд)
(Карл фон Пфланцер-Балтин, командует, Австро-Венгрия)
(Россия, воевала с, Австро-Венгрия)
(Эрцгерцог Иосиф Фердинанд, командует, Австро-Венгрия)

(Георг фон дер Марвиц, противостоял, Алексей Брусилов)
(Франц Иосиф, умер в, Австрия)



(Бетман-Гольвег, противостоял, Людендорф)

(Вильсон, объявил войну, Германия)
(Соединенные Штаты, разорвала дипломатические отношения, Берлин)
(Эрнст Резерфорд, представляет, Новая Зеландия)



(Жорж Клемансо, представляет, Франция)
(Россия, воевала с, Германия)

(Ленин, противостоял, Временное правительство)
(Ллойд Джордж, представляет, Великобритания)
(Россия, воевала с, Германия)

(Хейг, командовал, Великобритания)
(Хейг, противостоял, фон Лоссберг)



(Германия, воевала с, Италия)
(Италия, воевала с, Австро-Венгрия)
(Италия, воевала с, Германия)
(Луиджи Кадорна, представляет, Италия)
(Отто фон Белов, командует, Германия)
(Фердинанд Шернер, подчинён, Отто фон Белов)
(Эрвин Роммель, подчинён, Отто фон Белов)



(Германия, воевала с, Италия)
(Эрнст Хемингуэй, разработал, Прощай, оружие)

(Герман фон Эйхгорн, командует, Украина)
(Отто фон Лоссов, командует, Грузия)

(Вильсон, разработал, Четырнадцать пунктов)

(Германия, воевала с, Великобритания)

(Германия, воевала с, Великобритания)
(Германия, воевала с, США)
(Германия, воевала с, Франция)
(Дени Огюст Дюшен, командует, Франция)
(Людендорф, командует, Германия)

(Франция, воевала с, Германия)

(Германия, воевала с, Великобритания)
(Германия, воевала с, США)
(Германия, воевала с, Франция)

(Макс Баденский, представляет, Германия)
(Маттиас Эрцбергер, представляет, Германия)
(Филипп Шейдеман, представляет, Германия)

(Фердинанд Фош, место подписания, Компьенский лес)
(Фердинанд Фош, представляет, Франция)

(Версаль, место подписания, Версальский договор)
(Версальский договор, дата подписания, 28 июня 1919)
(Вудро Вильсон, представляет, США)

(Адольф Гитлер, представляет, Германия)

