(Брест-Литовск, место подписания, дипломатический договор)
(Германия, заключила, дипломатический договор)
(Германия, подписала перемирие, Российская Советская Федеративная Социалистическая Республика)
(Леопольд Баварский, представляет, Германия)
(Мадам Биценко, представляет, Российская Советская Федеративная Социалистическая Республика)
(Германия, оккупировала, Украина)
(Германия, заключила союз с, Австрия)
(Германия, воевала с, Франция)
(Германия, воевала с, Россия)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Италия)
(Фердинанд Порше, разработал, полноприводная тяга)
(Фридрих Науманн, разработал, Mitteleuropa)
(Германия, заключила, австро-германский альянс)
(Франция, заключила, франко-русский союз)
(Россия, заключила, франко-русский союз)
(Германия, разорвала дипломатические отношения, Великобритания)
(Вильгельм II, командует, Германия)
(Макс Вебер, представляет, Германия)

(Англия, заключила союз с, Франция)  
(Англия, заключила союз с, Россия)  
(Франция, заключила союз с, Россия)  
(Италия, воевала с, Османская Турция)  
(Италия, оккупировала, Ливия)  
(Сербия, заключила союз с, Россия)  
(Греция, заключила союз с, Британия)  
(Германия, заключила союз с, Австро-Венгрия)  
(Энвер-паша, представляет, Османская Турция)  
(Лиман фон Сандерс, командует, Османская Турция)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Россия)  
(Германия, заключила союз с, Османская Турция)  
(Германия, оккупировала, Османская Турция)  
(Россия, воевала с, Османская Турция)  
(Россия, заключила союз с, Сербия)  
(Россия, заключила союз с, Франция)  
(Россия, заключила союз с, Британия)  
(Франция, воевала с, Германия)  
(Франция, заключила союз с, Британия)  
(Франция, заключила союз с, Россия)  
(Британия, воевала с, Германия)  
(Британия, заключила союз с, Франция)  
(Британия, заключила союз с, Россия)  
(Австро-Венгрия, воевала с, Сербия)

(Теобальд фон Бетман-Гольвег, командует, Германия)  
(Петр Столыпин, представляет, Россия)  
(Гаврило Принцип, убил, Франц Фердинанд)  
(Гаврило Принцип, противостоял, Оскар Потиорек)  
(Австро-Венгрия, заключила союз с, Германия)  
(Австро-Венгрия, воевала с, Сербия)  
(Россия, воевала с, Германия)  
(Россия, вступила в войну, 1914-08-01)  
(Сербия, воевала с, Австро-Венгрия)  
(Франц Фердинанд, умер в, Сараево)  
(Австро-Венгрия, подписала перемирие, Сербия)  
(Австро-Венгрия, разорвала дипломатические отношения, Сербия)  
(Германия, разорвала дипломатические отношения, Россия)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Россия)  
(Германия, заключила союз с, Австро-Венгрия)  
(Германия, оккупировала, Франция)  
(Германия, подписала перемирие, Франция)  
(Германия, подписала перемирие, Россия)  
(Германия, разорвала дипломатические отношения, Франция)  
(Германия, разорвала дипломатические отношения, Россия)  
(Германия, вступила в войну, 1914-08-01)  
(Австро-Венгрия, вступила в войну, 1914-07-28)  
(Сербия, вступила в войну, 1914-07-28)  
(Франц Фердинанд, умер в, Сараево)

(Германия, объявила войну, Россия)  
(Германия, объявила войну, Франция)  
(Германия, вторглась, Бельгия)  
(Великобритания, выдвинула ультиматум, Германия)  
(Великобритания, вступила в войну, 1914-08-04)  
(Россия, объявила мобилизацию, 1914-07-31)  
(Германия, объявила войну, 1914-08-01)  
(Франция, отказалась, ультиматум Германии)  
(Австро-Венгрия, объявила войну, Сербия)  
(Уинстон Черчилль, провел мобилизацию, военно-морской флот)  
(Германия, воевала с, Великобритания)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Россия)  
