1. (Германия, подписала, договор)
2. (Брест-Литовск, место подписания, договор)
3. (Германия, заключила, договор)
4. (Россия, подписала, договор)
5. (Россия, заключила, договор)
6. (Германия, подписала, договор)
7. (Леопольд Баварский, представляет, Германия)
8. (Россия, воевала с, Германия)
9. (Германия, воевала с, Россия)
10. (Фердинанд Порше, разработал, полноприводная тяга)
11. (Германия, оккупировала, Украина)
12. (Германия, подписала перемирие, Россия)
13. (Германия, воевала с, Италия)
14. (Германия, воевала с, Великобритания)
15. (Германия, заключила союз с, Австро-Венгрия)

(Фридрих Науманн, разработал, Mitteleuropa)  
(Германия, заключила союз с, Австрия)  
(Франция, заключила союз с, Россия)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Британия)  
(Германия, оккупировала, Эльзас)  
(Германия, оккупировала, Лотарингия)  
(Вильгельм II, представляет, Германия)  
(Бисмарк, противостоял, Вильгельм II)  
(Россия, разорвала дипломатические отношения, Германия)

(Германия, создала, флот)  
(Германия, заключила союз с, Франция)  
(Германия, заключила союз с, Россия)  
(Франция, заключила союз с, Россия)  
(Италия, напала на, Османская Турция)  
(Италия, оккупировала, Ливия)  
(Британия, оккупировала, Египет)  
(Франция, оккупировала, Северная Африка)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Россия)  
(Италия, оккупировала, острова у Анатолийского побережья)  
(Франция, заключила, Entente Cordiale)  
(Франция, заключила, оборонное соглашение)  
(Россия, заключила, оборонное соглашение)  
(Германия, поощряла, Австрия)

(Сербия, заключила союз с, Россия)  
(Греция, заключила союз с, Британия)  
(Турция, заключила союз с, Германия)  
(Энвер-паша, представляет, Турция)  
(Лиман фон Сандерс, командует, Турция)  
(Россия, разорвала дипломатические отношения, Германия)  
(Россия, разорвала дипломатические отношения, Австро-Венгрия)  
(Германия, заключила союз с, Австро-Венгрия)  
(Россия, воевала с, Германия)  
(Россия, воевала с, Австро-Венгрия)  
(Турция, воевала с, Россия)  
(Россия, заключила союз с, Франция)  
(Россия, заключила союз с, Британия)  
(Германия, оккупировала, Турция)  
(Россия, вступила в войну, 1914)

(Теобальд фон Бетман-Гольвег, командует, Германия)  
(Петр Столыпин, представляет, Россия)  
(Россия, воевала с, Германия)  
(Германия, воевала с, Россия)  
(Сербия, воевала с, Австро-Венгрия)  
(Австро-Венгрия, воевала с, Сербия)  
(Россия, вступила в войну, 1914-08-01)  
(Германия, вступила в войну, 1914-08-01)  
(Австро-Венгрия, заключила союз с, Германия)  
(Германия, заключила союз с, Австро-Венгрия)

(Франц Фердинанд, умер в, Сараево)  
(Гаврило Принцип, противостоял, Франц Фердинанд)  
(Гаврило Принцип, умер в, тюрьма)  
(Оскар Потиорек, противостоял, Франц Фердинанд)  
(Австро-Венгрия, воевала с, Россия)  
(Австро-Венгрия, заключила союз с, Германия)  
(Германия, воевала с, Россия)  
(Германия, заключила союз с, Австро-Венгрия)  
(Германия, вступила в войну, 1914)  
(Германия, разорвала дипломатические отношения, Россия)  
(Бетман-Гольвег, представляет, Германия)  
(Курт Рицлер, представляет, Германия)  
(Бисмарк, разработал, стратегия обращения случайностей в пользу)  
(Граф Чернин, представляет, Австро-Венгрия)  
(Граф Гойос, представляет, Австро-Венгрия)

(Австро-Венгрия, объявила войну, Сербия)  
(Германия, объявила войну, Россия)  
(Германия, объявила войну, Франция)  
(Германия, вторглась, Бельгия)  
(Уинстон Черчилль, представляет, Великобритания)  
(Германия, воевала с, Великобритания)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Россия)  
(Россия, воевала с, Австро-Венгрия)  
(Германия, разорвала дипломатические отношения, Россия)  
(Германия, разорвала дипломатические отношения, Франция)  
(Германия, разорвала дипломатические отношения, Великобритания)

(Великобритания, вступила в войну, 1914-08-04)

(Эдуард Грей, представляет, Великобритания)  
(Эдуард Грей, противостоял, Германия)  
(Франция, разработал, метод ведения войны)  
(Россия, вступила в войну, 1914-08-01)  
(Россия, разорвала дипломатические отношения, Германия)  
(Россия, воевала с, Германия)  
(Великобритания, воевала с, Германия)  
(Франция, воевала с, Германия)  
(Россия, заключила союз с, Великобритания)  
(Россия, заключила союз с, Франция)  
(Великобритания, заключила союз с, Франция)  
(Россия, оккупировала, часть Германии)  
(Франция, оккупировала, часть Германии)  
(Великобритания, оккупировала, часть Германии)  
(Россия, подписала перемирие, Германия)

(Германия, вступила в войну, 1914)
(Франция, вступила в войну, 1914)
(Шлиффен, разработал, план Шлиффена)
(Германия, воевала с, Франция)
(Германия, воевала с, Бельгия)
(Германия, воевала с, Россия)
(Франция, воевала с, Германия)
(Бельгия, воевала с, Германия)
(Россия, воевала с, Германия)
(Хан Нахичеванский, представляет, Россия)
(Льеж, место подписания, капитуляция)
(Германия, оккупировала, Бельгия)
(Франция, заключила союз с, Бельгия)
(Франция, заключила союз с, Великобритания)
(Германия, командует, Шлиффен)

(Германия, оккупировала, Бельгия)  
(Жозеф Жоффр, разработал, план XVII)  
(Александр фон Клук, командует, 1-я германская армия)  
(Жозеф Жоффр, командует, французская армия)  
(Шарль Ланрезак, командует, 5-я французская армия)  
(Германия, воевала с, Франция)  
(Германия, воевала с, Великобритания)  
(Бельгия, воевала с, Германия)  
(Германия, вступила в войну, 1914-08-04)  
(Франция, вступила в войну, 1914-08-03)  
(Великобритания, вступила в войну, 1914-08-04)  
(Германия, подписала перемирие, Франция)  
(Германия, подписала перемирие, Великобритания)  
(Германия, подписала перемирие, Бельгия)  
(Германия, заключила союз с, Австро-Венгрия)

(Мольтке, приказал, армиям левого крыла)
(Клук, командовал, 1-й армией)
(Карл фон Бюлов, командовал, 2-й армией)
(Фердинанд Фош, командовал, 9-й армией)
(Жоффр, противостоял, Мольтке)
(Клук, противостоял, британцам)
(Клук, противостоял, французской 6-й армии)
