(Австро-Венгрия, воевала с, Россия)
(Германия, воевала с, Великобритания)
(Германия, воевала с, Российская империя)
(Германия, воевала с, Россия)
(Германия, воевала с, Франция)
(Германия, оккупировала, Бельгия)
(Германия, оккупировала, Льеж)
ермания, подписала, Брест-Литовский договор с Украиной (09.02.1918)
(Украина, подписала, Брест-Литовский договор с Германией (09.02.1918))

(Германия, участвовала в, Марнское сражение)
(Жозеф Жоффр, командует, Франция)
(Россия, подписала, Брест-Литовский договор)
(Франция, воевала с, Германия)

Александр фон Клук, командует, Германия)
(Фердинанд Фош, командует, Франция)
(Георг фон дер Марвиц, командует, Германия)
(Пауль фон Гинденбург, командует, Германия)

 Финляндия, получила независимость, 1918)
(Литва, получила независимость, 1918)
