(Брест-Литовский мир, проводился в, Брест-Литовск)
(Брест-Литовский мир, часть, Первая мировая война)
(Германия, союзник, Австро-Венгрия)
(Германия, союзник, Болгария)
(Германия, союзник, Турция)
(Договор, проводился в, Брест-Литовск)
(Леопольд Баварский, подписал договор, Брест-Литовский мир)
(Первая мировая война, сторона конфликта, Австро-Венгрия)
(Первая мировая война, сторона конфликта, Бельгия)
(Первая мировая война, сторона конфликта, Болгария)
(Первая мировая война, сторона конфликта, Великобритания)
(Первая мировая война, сторона конфликта, Германия)
(Первая мировая война, сторона конфликта, Италия)
(Первая мировая война, сторона конфликта, Российская империя)
(Первая мировая война, сторона конфликта, Румыния)
(Первая мировая война, сторона конфликта, США)
(Первая мировая война, сторона конфликта, Сербия)
(Первая мировая война, сторона конфликта, Турция)
(Первая мировая война, сторона конфликта, Франция)
(Первая мировая война, сторона конфликта, Япония)

(Австрия, союзник, Германия)
(Берлин, расположена в стране, Германия)
(Вильгельм II, продвигал идею, германская империя)
(Вильгельм II, состоит в, Германия)
(Германия, враждовал с, Британия)
(Германия, враждовал с, Россия)
(Германия, враждовал с, Франция)
(Германия, имеет столицу, Берлин)
(Германия, использовала технологию, военно-морской флот)
(Германия, реализовал план, создание военно-морского флота)
(Макс Вебер, покинул, Пангерманский союз)
(Макс Вебер, состоит в, Фрайбургский университет)
(Пангерманский союз, движение активно в, Германия)
(Россия, враждовал с, Германия)
(Россия, союзник, Франция)
(Франция, враждовал с, Германия)
(Франция, союзник, Россия)
(Фридрих Науманн, продвигал идею, Политическое_движение)
(Фридрих Науманн, продвигал идею, германское содружество)
(Эльзас и Лотарингия, расположена в стране, Германия)

(Великобритания, враждовал с, Германия)
(Великобритания, заключил мир с, Россия)
(Великобритания, заключил мир с, Франция)
(Великобритания, флот управляется, Великобритания)
(Германия, враждовал с, Россия)
(Германия, враждовал с, Франция)
(Германия, создала, флот)
(Германия, союзник, Австро-Венгрия)
(Италия, враждовал с, Османская Турция)
(Италия, захватила, Ливия)
(Италия, напала на, Османская Турция)
(Османская Турция, потеряла территорию в пользу, Италия)
(Россия, союзник, Великобритания)
(Флот, флот управляется, Германия)
(Флот, флот участвовал в, Военный_конфликт)
(Франция, заключил мир с, Великобритания)
(Франция, потеряла территорию в пользу, Германия)
(Франция, союзник, Великобритания)
(Франция, союзник, Россия)

(Балканский союз, союзник, Греция)
(Балканский союз, союзник, Сербия)
(Германия, враждовал с, Россия)
(Германия, враждовал с, Франция)
(Германия, реализовал план, Железная дорога Берлин — Багдад)
(Германия, союзник, Османская империя)
(Греция, союзник, Британия)
(Железная дорога Берлин — Багдад, дорога использовалась для, Военный_конфликт)
(Железная дорога Берлин — Багдад, дорога построена, Германия)
(Лиман фон Сандерс, командует армией, Турецкий корпус)
(Россия, враждовал с, Османская империя)
(Россия, потеряла территорию в пользу, Османская империя)
(Россия, союзник, Британия)
(Россия, союзник, Франция)
(Сербия, союзник, Россия)
(Турция, враждовал с, Британия)
(Турция, враждовал с, Россия)
(Турция, враждовал с, Франция)
(Энвер-паша, продвигал идею, Милитаризм)
(Энвер-паша, состоит в, Младотурки)



(Австро-Венгрия, враждовал с, Сербия)
(Антанта, союзник, Великобритания)
(Антанта, союзник, Россия)
(Антанта, союзник, Франция)
(Бетман-Гольвег, улаживал, финансовые дела Германии)
(Бетман-Гольвег, участвовал в, подготовка к войне)
(Брест-Литовск, расположена в стране, Беларусь)
(Гаврило Принцип, арестован в, Сараево)
(Гаврило Принцип, вдохновился идеями, русские нигилисты)
(Гаврило Принцип, состоит в, группа молодых сербских террористов)
(Гаврило Принцип, убил, Франц Фердинанд)
(Гаврило Принцип, умер в, тюрьма)
(Германия, враждовал с, Антанта)
(Германия, враждовал с, Россия)
(Германия, союзник, Австро-Венгрия)
(Граф Чернин, участвовал в переговорах, Брест-Литовск)
(Курт Рицлер, состоит в, секретариат Бетмана-Гольвега)
(Россия, усиливается, 1914)
(Сараево, расположена в стране, Босния)
(Франц Фердинанд, убит в, Сараево)

(Австро-Венгрия, враждовал с, Россия)
(Австро-Венгрия, враждовал с, Сербия)
(Великобритания, союзник, Бельгия)
(Великобритания, союзник, Россия)
(Великобритания, союзник, Франция)
(Германия, враждовал с, Великобритания)
(Германия, враждовал с, Россия)
(Германия, враждовал с, Франция)
(Германия, вторгся в, Бельгия)
(Германия, использовала технологию, железные дороги)
(Германия, объявил войну, Россия)
(Германия, объявил войну, Франция)
(Германия, союзник, Австро-Венгрия)
(Германия, флот управляется, Германия)
(Германия, флот участвовал в, Военный_конфликт)
(Россия, враждовал с, Австро-Венгрия)
(Россия, враждовал с, Германия)
(Россия, союзник, Великобритания)
(Россия, союзник, Франция)
(Уинстон Черчилль, командует армией, военно-морской флот Великобритании)

(Британский флот, флот управляется, Великобритания)
(Британский флот, флот участвовал в, Военный_конфликт)
(Великобритания, враждовал с, Германия)
