(Большевики, движение активно в, Россия)
(Большевики, продвигал идею, мир)
(Брест-Литовский мир, проводился в, Брест-Литовск)
(Брест-Литовский мир, состоялось после, Октябрьская революция)
(Брест-Литовский мир, часть, Первая мировая война)
(Германия, союзник, Австро-Венгрия)
(Германия, союзник, Болгария)
(Германия, союзник, Турция)
(Договор, проводился в, Брест-Литовск)
(Леопольд Баварский, состоит в, Германия)
(Октябрьская революция, имело следствием, захват власти большевиками)
(Первая мировая война, имело следствием, разрушение европейской цивилизации)
(Первая мировая война, имело следствием, уничтожение царской России)
(Первая мировая война, сторона конфликта, Австро-Венгрия)
(Первая мировая война, сторона конфликта, Болгария)
(Первая мировая война, сторона конфликта, Германия)
(Первая мировая война, сторона конфликта, Россия)
(Первая мировая война, сторона конфликта, Турция)
(Российская Советская Федеративная Социалистическая Республика, миссия представляла, Россия)
(Россия, потеряла территорию в пользу, государства Балтии)

(Берлин, расположен в стране, Германия)
(Германия, враждовал с, Бисмарк)
(Германия, враждовал с, Брест-Литовск)
(Германия, враждовал с, Великобритания)
(Германия, враждовал с, Европа)
(Германия, враждовал с, Канада)
(Германия, враждовал с, Россия)
(Германия, враждовал с, Советский Союз)
(Германия, враждовал с, Соединенные Штаты)
(Германия, враждовал с, Франция)
(Германия, враждовал с, англо-американская оккупация)
(Германия, нанесла поражение, Франция)
(Германия, подписал договор, Украина)
(Германия, подписал договор, большевики)
(Германия, союзник, Брест-Литовские государства)
(Германия, союзник, Литва)
(Германия, союзник, Украина)
(Германия, союзник, Финляндия)
(Германия, стала, могущественной державой континента)
(Германия, стремилась стать, мировая империя)

(Австрия, враждовал с, Турция)
(Берлин, расположена в стране, Германия)
(Британский кабинет, объявил войну, 1914 год)
(Германия, провела кампанию, мартовское наступление)
(Германия, провела кампанию, сражение под Капоретто)
(Поляки, этническая группа, Германия)
(Сражение под Капоретто, произошло в локации, Итальянский фронт)
(Фердинанд Порше, использовала технологию, полноприводная тяга)
(Фридрих Науманн, продвигал идею, германское содружество)
(Центральные державы, сторона конфликта, Итальянский фронт)

(Австрия, имеет, националистов)
(Австрия, союзник, Германия)
(Англия, имеет столицу, Лондон)
(Англия, имеет, заморскую империю)
(Англия, флот управляется, Англия)
(Бисмарк, состоит в, Германия)
(Вильгельм II, взошел на трон, 1888)
(Вильгельм II, состоит в, Германия)
(Германия, аннексировала, Лотарингия)
(Германия, аннексировала, Эльзас)
(Германия, враждовал с, Франция)
(Германия, имеет, военно-морской флот)
(Германия, имеет, промышленное производство)
(Германия, реализовал план, Mitteleuropa)
(Германия, союзник, Австрия)
(Франция, враждовал с, Германия)

(Берлин, расположена в стране, Германия)
(Германия, враждовал с, Британия)
(Германия, построила, военно-морской флот)
(Германия, союзник, Австрия)
(Макс Вебер, покинул, Пангерманский союз)
(Макс Вебер, состоит в, Фрайбургский университет)
(Россия, вступила в, франко-русский союз)
(Санкт-Петербург, расположена в стране, Россия)
(Франция, вступила в, франко-русский союз)
(Франция, союзник, Россия)

(Англия, флот управляется, Англия)
(Германия, враждовал с, Россия)
(Германия, враждовал с, Франция)
(Германия, сторона конфликта, Россия)
(Германия, сторона конфликта, Франция)
(Германия, флот управляется, Германия)
(Франция, союзник, Россия)

(Entente Cordiale, проводился в, Великобритания)
(Entente Cordiale, проводился в, Франция)
(Великобритания, использовала технологию, линкоры)
(Великобритания, сторона конфликта, Первая мировая война)
(Великобритания, флот управляется, Великобритания)
(Военно-промышленный комплекс, план повлиял на страну, США)
(Германия, враждовал с, Россия)
(Германия, враждовал с, Франция)
(Германия, использовала технологию, линкоры)
(Германия, поощряла агрессивность, Австро-Венгрия)
(Германия, претендовала на, Марокко)
(Германия, рейд канонерской лодки, Марокко)
(Германия, сторона конфликта, Первая мировая война)
(Германия, флот управляется, Германия)
(Россия, союзник, Великобритания)
(Россия, сторона конфликта, Первая мировая война)
(США, эмиссар, угроза милитаризма)
(Франция, союзник, Великобритания)
(Франция, союзник, Россия)
(Франция, сторона конфликта, Первая мировая война)

(Балканская война, состоялась после, первой Балканской войны)
(Балканский союз, изгнал, османскую армию с Балкан)
(Балканский союз, пошел в наступление, 1912)
(Британия, взяла себе, Египет)
(Германия, послала, канонерку в Марокко)
(Греция, скооперировалась с, Британией)
(Италия, захватила, острова у Анатолийского побережья)
(Италия, напала на, Османскую Турцию)
(Италия, попыталась завладеть, Ливией)
(Сербия, скооперировалась с, Россией)
(Турция, отвоевала, территории)
(Франция, взяла себе, Северную Африку)

(Антанта, вынудила, Турция)
(Армяне, этническая группа, проживали в, провинции Восточной Анатолии)
(Германия, построила, железнодорожная станция в Стамбуле)
(Германия, союзник, Османская империя)
(Германская военная миссия, миссия представляла, Германия)
(Железнодорожная станция в Стамбуле, дорога построена, Германия)
(Лиман фон Сандерс, командует армией, турецкий корпус на Босфоре и Дарданеллах)
(Лиман фон Сандерс, состоит в, германская военная миссия)
(Младотурки, движение активно в, Османская империя)
(Османская империя, враждовал с, Антанта)
(Провинции Восточной Анатолии, расположена в стране, Турция)
(Россия, враждовал с, Османская империя)
(Россия, союзник, Антанта)
(Турция, предоставила статус, провинции Восточной Анатолии)
(Энвер-паша, продвигал идею, милитаристский дух)
(Энвер-паша, состоит в, младотурки)





(Германия, враждовал с, Россия)
(Германия, враждовал с, Франция)
(Германская армия, армия принадлежит, Германия)
(Железные дороги, дорога использовалась для, мобилизация)
(Индустриализация, план повлиял на страну, Россия)
(Петр Столыпин, состоит в, правительство России)
(Россия, дорога построена, железные дороги)
(Россия, реализовал план, индустриализация)
(Россия, союзник, Франция)
(Русская армия, армия принадлежит, Россия)

(Австро-Венгрия, враждовал с, Сербия)
(Австро-Венгрия, союзник, Германия)
(Балканские войны, сторона конфликта, Австро-Венгрия)
(Балканские войны, сторона конфликта, Сербия)
(Германия, враждовал с, Россия)
(Германия, враждовал с, Франция)
(Германия, союзник, Австро-Венгрия)
(Железная_дорога, дорога использовалась для, мобилизация)
(Железная_дорога, дорога построена, Германия)
(Сербия, враждовал с, Австро-Венгрия)

(Гаврило Принцип, вдохновился идеями, Джозеф Конрад)
(Гаврило Принцип, вдохновился идеями, Достоевский)
(Гаврило Принцип, вдохновился идеями, русские нигилисты)
(Гаврило Принцип, убил, Франц Фердинанд)
(Гаврило Принцип, умер в, тюрьма)
(Граф Чернин, участвовал в переговорах, Брест-Литовские переговоры)
(Сараево, расположена в стране, Босния)
(Франц Фердинанд, поругался с, Оскар Потиорек)
(Франц Фердинанд, посетил, штаб-квартира генерал-губернатора Оскара Потиорека)
(Франц Фердинанд, убит, Сараево)

(Австро-Венгрия, союзник, Германия)
(Берлин, расположен в стране, Германия)
(Бисмарк, продвигал идею, германская империя на Ближнем и Среднем Востоке)
(Германия, враждовал с, Россия)
(Германия, союзник, Австро-Венгрия)
(Граф Гойос, участвовал в переговорах, инцидент с эрцгерцогом)
(Железная_дорога, дорога использовалась для, перемещение войск)
(Железная_дорога, дорога построена, Россия)
(Курт Рицлер, состоит в, правительство Германии)
(Россия, враждовал с, Германия)

(Австрия, враждовал с, Россия)
(Австрия, враждовал с, Сербия)
(Австрия, враждовал с, Турция)
(Австрия, союзник, Германия)
(Берлин, расположен в стране, Германия)
(Германия, враждовал с, Россия)
(Германия, враждовал с, Сербия)
(Германия, союзник, Австрия)
(Россия, враждовал с, Австрия)
(Россия, враждовал с, Германия)
(Сербия, враждовал с, Австрия)
(Сербия, враждовал с, Германия)





(Бельгия, враждовал с, Великобритания)
(Великобритания, союзник, Бельгия)
(Вторжение в Бельгию, произошло в локации, Бельгия)
(Европейская война, имело следствием, мировая война)

(Армия, армия принадлежит, Страна)
(Великобритания, враждовал с, Германия)
(Великобритания, реализовал план, Экономический_план)
(Военный_конфликт, использовала технологию, Технология)
(Военный_конфликт, сторона конфликта, Великобритания)
(Военный_конфликт, сторона конфликта, Германия)
(Железная_дорога, дорога использовалась для, Военный_конфликт)
(Железная_дорога, дорога построена, Страна)
(Персона, командует армией, Армия)
(Событие, имело следствием, Событие)
(Событие, произошло в локации, Локация)
(Событие, состоялось после, Событие)
(Событие, часть, Событие)
(Флот, флот управляется, Страна)
(Флот, флот участвовал в, Военный_конфликт)
(Эдуард Грей, продвигал идею, Политическое_движение)
(Эдуард Грей, состоит в, Организация)
(Эдуард Грей, участвовал в переговорах, Событие)
(Экономический_план, план повлиял на страну, Великобритания)
(Экономический_план, план повлиял на страну, Германия)

(Австро-венгерская армия, армия принадлежит, Австро-Венгрия)
(Австро-венгерский командующий, командует армией, Австро-венгерская армия)
(Большевистская революция, произошло в локации, Россия)
(Верховное главнокомандование России, командует армией, Русская армия)
(Италия, имело следствием, инфляция)
(Россия, имело следствием, большевистская революция)
(Русская армия, армия принадлежит, Россия)
(Ставка, состоит в, верховное главнокомандование России)
(Фредерик Шустер, состоит в, банк Англии)

(Антверпен, расположена в стране, Бельгия)
(Бельгия, враждовал с, Германия)
(Верден, расположена в стране, Франция)
(Динан, расположена в стране, Бельгия)
(Льеж, расположена в стране, Бельгия)
(Льеж, расположена в стране, Франция)
(Мобеж, расположена в стране, Франция)
(Намюр, расположена в стране, Бельгия)
(Первая мировая война, использовала технологию, артиллерия)
(Первая мировая война, использовала технологию, конница)
(Первая мировая война, использовала технологию, крепости)
(Первая мировая война, сторона конфликта, Бельгия)
(Первая мировая война, сторона конфликта, Германия)
(Первая мировая война, сторона конфликта, Франция)
(Северная Франция, расположена в стране, Франция)
(Туль, расположена в стране, Франция)
(Франция, враждовал с, Германия)

(Германия, враждовал с, Франция)
(Германия, вторглась в, Бельгия)
(Германские войска, сторона конфликта, Германия)
(Гражданская война в Америке, сторона конфликта, США)
(Немецкие войска, использовала технологию, план Шлиффена)
(Немецкие уланы, армия принадлежит, Германия)
(План Шлиффена, план повлиял на страну, Германия)
(Русская кавалерия, армия принадлежит, Россия)
(Татарская конница, армия принадлежит, Россия)
(Франко-прусская война, состоялось после, Гражданская война в Америке)
(Франко-прусская война, сторона конфликта, Германия)
(Франко-прусская война, сторона конфликта, Франция)
(Франция, враждовал с, Германия)
(Франция, сосредоточилась на, восточная граница)
(Французские войска, сторона конфликта, Франция)
(Французские драгуны, армия принадлежит, Франция)
(Хан Нахичеванский, состоит в, Татарская конница)

(Германия, армия принадлежит, Страна)
(Германия, использовала технологию, лопаты)
(Германия, использовала технологию, обучение войск)
(Германия, использовала технологию, оснащение войск)
(Германия, использовала технологию, тяжелая артиллерия)
(Франция, армия принадлежит, Страна)
(Франция, использовала технологию, всеобщая воинская повинность)
(Франция, использовала технологию, легкие минометы)
(Франция, использовала технологию, национальный патриотизм)
(Франция, использовала технологию, шанцевый инструмент)

(Антверпен, расположена в стране, Бельгия)
(Бельгия, враждовал с, Германия)
(Бельгия, имеет столицу, Брюссель)
(Бельгия, потеряла территорию в пользу, Германия)
(Британские экспедиционные силы, армия принадлежит, Великобритания)
(Британские экспедиционные силы, сторона конфликта, Первая мировая война)
(Германия, враждовал с, Бельгия)
(Германия, враждовал с, Великобритания)
(Германия, враждовал с, Франция)
(Германия, вторгся в, Бельгия)
(Германия, использовала технологию, тяжелые орудия)
(Германия, союзник, Австро-Венгрия)
(Германия, сторона конфликта, Первая мировая война)
(Жозеф Жоффр, командует армией, французская армия)
(Жозеф Жоффр, состоит в, Французская армия)
(Льеж, расположена в стране, Бельгия)
(Намюр, расположена в стране, Бельгия)
(Франция, враждовал с, Германия)
(Франция, потеряла территорию в пользу, Германия)
(Франция, сторона конфликта, Первая мировая война)

(Александр фон Клук, командует армией, Германская армия)
(Арденны, расположена в стране, Бельгия)
(Арденны, расположена в стране, Франция)
(Армия, армия принадлежит, Франция)
(Битва при Монсе, произошло в локации, Монс)
(Битва при Монсе, состоялось после, Событие)
(Битва при Монсе, сторона конфликта, Великобритания)
(Битва при Монсе, сторона конфликта, Германия)
(Британская армия, армия принадлежит, Великобритания)
(Германская армия, армия принадлежит, Германия)
(Железная дорога, дорога использовалась для, Военный_конфликт)
(Жоффр, воевал против, Германия)
(Жоффр, участвовал в переговорах, Событие)
(Ланрезак, командует армией, Армия)
(Сэр Джон Френч, командует армией, Британская армия)
(Франция, враждовал с, Германия)
(Франция, потеряла территорию в пользу, Германия)
(Франция, реализовал план, Экономический_план)
(Франция, союзник, Великобритания)
(Экономический_план, план повлиял на страну, Франция)





(Британские экспедиционные силы, двигались вперед, пространство между германскими армиями)
(Британцы, переправились через, Марну)
(Бюлов, собирался отойти, если британцы переправятся через Марну)
(Германские армии правого фланга, уступали по численности, войскам союзников)
(Жоффр, предположил, что немцы бегут)
(Клук, отступил, на восток)
(Мольтке, приказал отходить, 3-й, 4-й и 5-й армиям)
(Мольтке, провел, совещание)
(Немцы, отошли, к меловому кряжу)
(Полковник разведки, отправился переговорить, с Клуком и Бюловом)
(Союзники, атаковали, укрепленные позиции немцев на реке Эна)
(Французы, вложили деньги, в стратегические железные дороги)
(Французы, научились пользоваться, полевой артиллерией)

(1-я армия, двинулась на, запад Восточной Пруссии)
(2-я армия, двинулась на, северо-запад Восточной Пруссии)
(8-я армия, армия принадлежит, Германия)
(8-я армия, нанесла удар по, 1-я армия)
(8-я армия, сосредоточена в, крепости Кенигсберг)
(Александр Самсонов, командует армией, 2-я армия)
(Варшава, расположена в стране, Россия)
(Восточная Пруссия, расположена в стране, Германия)
(Германия, враждовал с, Россия)
(Германия, использовала, железные дороги)
(Железная дорога, дорога использовалась для, перемещения войск)
(Максимилиан фон Притвиц, намерен сдать, Восточную Пруссию)
(Максимилиан фон Притвиц, сообщил, Мольтке)
(Россия, провела, мобилизацию)
(Русские войска, вторглись в, Восточную Пруссию)

(1-я армия, армия принадлежит, Россия)
(2-я армия, армия принадлежит, Россия)
(2-я армия, воевал против, Германия)
(Военный_конфликт, сторона конфликта, Германия)
(Военный_конфликт, сторона конфликта, Россия)
(Железная_дорога, дорога использовалась для, Военный_конфликт)
(Кенигсберг, расположена в стране, Германия)
(Пауль фон Гинденбург, командует армией, германская армия)
(Танненберг, расположена в стране, Германия)
(Эрих Людендорф, командует армией, германская армия)
(Эрих Людендорф, участвовал в переговорах, взятие Льежа)

(Австро-Венгрия, враждовал с, Сербия)
(Австро-Венгрия, сторона конфликта, Первая мировая война)
(Австро-венгерская армия, армия принадлежит, Австро-Венгрия)
(Битва при Танненберге, имело следствием, Пауза на русско-германском фронте)
(Битва при Танненберге, произошло в локации, Восточная Пруссия)
(Восточная Пруссия, расположена в стране, Германия)
(Германия, союзник, Австро-Венгрия)
(Германия, сторона конфликта, Первая мировая война)
(Гинденбург, участвовал в, Битва при Танненберге)
(Людендорф, участвовал в, Битва при Танненберге)
(Россия, враждовал с, Австро-Венгрия)
(Россия, враждовал с, Германия)
(Россия, имеет столицу, Санкт-Петербург)
(Россия, потеряла территорию в пользу, Германия)
(Россия, провела успешную операцию в, Австро-Венгрия)
(Россия, союзник, Сербия)
(Россия, сторона конфликта, Первая мировая война)
(Сербия, сторона конфликта, Первая мировая война)
(Франц Конрад фон Гетцендорф, воевал против, Россия)
(Франц Конрад фон Гетцендорф, командует армией, Австро-венгерская армия)

(Австро-Венгрия, враждовал с, Сербия)
(Австро-Венгрия, мобилизация проведена против, Россия)
(Австро-Венгрия, мобилизация проведена против, Сербия)
(Босниш-Брод, расположена в стране, Босния)
(Будапешт, расположена в стране, Венгрия)
(Железная_дорога, дорога использовалась для, Военный_конфликт)
(Железная_дорога, дорога построена, Австро-Венгрия)
(Россия, враждовал с, Австро-Венгрия)
(Словения, расположена в стране, Австро-Венгрия)
(Хорватия, расположена в стране, Венгрия)

(Австро-венгерская армия, армия принадлежит, Австро-Венгрия)
(Австро-венгерская армия, враждовал с, Сербия)
(Австро-венгерская армия, участвовала в, Наступление в Сербии)
(Британское наступление на Сомме, произошло в локации, Амьен)
(Железная дорога, дорога использовалась для, Наступление в Сербии)
(Конрад, командует армией, Австро-венгерская армия)
(Наступление в Сербии, имело следствием, отступление австро-венгерских армий)
(Наступление в Сербии, сторона конфликта, Австро-Венгрия)
(Наступление в Сербии, сторона конфликта, Сербия)
(Потиорек, командует армией, Австро-венгерская армия)
(Сербская армия, армия принадлежит, Сербия)
(Сербская армия, участвовала в, Наступление в Сербии)

(Австро-Венгрия, враждовал с, Германия)
(Австро-Венгрия, враждовал с, Россия)
(Австро-венгерская армия, армия принадлежит, Австро-Венгрия)
(Битва при Лемберге, имело следствием, отступление австро-венгерских войск)
(Битва при Лемберге, произошло в локации, Львов)
(Битва при Лемберге, сторона конфликта, Австро-Венгрия)
(Битва при Лемберге, сторона конфликта, Россия)
(Германия, враждовал с, Австро-Венгрия)
(Германия, враждовал с, Россия)
(Карпаты, расположена в стране, Австро-Венгрия)
(Краков, расположена в стране, Австро-Венгрия)
(Львов, расположена в стране, Австро-Венгрия)
(Мольтке, состоит в, Германия)
(Отступление австро-венгерских войск, произошло в локации, Карпаты)
(Отступление австро-венгерских войск, произошло в локации, Краков)
(Россия, враждовал с, Австро-Венгрия)
(Россия, враждовал с, Германия)
(Русская армия, армия принадлежит, Россия)
(Эрих фон Фалькенгайн, командует армией, Германия)
(Эрих фон Фалькенгайн, состоит в, Германия)

(Бельгийская армия, армия принадлежит, Бельгия)
(Бельгия, враждовал с, Германия)
(Битва при Ипре, имело следствием, потери бельгийской армии)
(Битва при Ипре, имело следствием, потери британской армии)
(Битва при Ипре, имело следствием, потери германской армии)
(Битва при Ипре, произошло в локации, Ипр)
(Битва при Ипре, сторона конфликта, Бельгия)
(Битва при Ипре, сторона конфликта, Великобритания)
(Битва при Ипре, сторона конфликта, Германия)
(Битва при Ипре, часть, Первая мировая война)
(Британская армия, армия принадлежит, Великобритания)
(Германская армия, армия принадлежит, Германия)
(Ипр, расположена в стране, Бельгия)
(Лангемарк, расположена в стране, Бельгия)
(Проволочные заграждения, использовалась для, Битва при Ипре)
(Траншеи, использовалась для, Битва при Ипре)

(Австро-Венгрия, армия принадлежит, Австро-Венгерская империя)
(Британские войска, армия принадлежит, Великобритания)
(Германия, армия принадлежит, Германская империя)
(Западный фронт, произошел в локации, Фландрия)
(Западный фронт, часть, Военный_конфликт)
(Россия, армия принадлежит, Российская империя)
(Фландрия, расположена в стране, Бельгия)



(Бреслау, флот управляется, Османская империя)
(Гебен, флот управляется, Османская империя)
(Германская армия, армия принадлежит, Германия)
(Краков, расположена в стране, Австро-Венгрия)
(Линейные корабли, флот управляется, Османская империя)
(Людендорф, командует армией, германская армия)
(Османская империя, враждовал с, Россия)
(Османская империя, сторона конфликта, Первая мировая война)
(Россия, враждовал с, Османская империя)
(Россия, объявила войну, Османская империя)
(Россия, сторона конфликта, Первая мировая война)
(Талаат, продвигал идею, турецкий национализм)
(Талаат, состоит в, младотурки)
(Черчилль, продвигал идею, строительство линейных кораблей)
(Энвер-паша, продвигал идею, турецкий национализм)
(Энвер-паша, состоит в, младотурки)

(Кемаль Ататюрк, воевал против, Россия)
(Кемаль Ататюрк, командует армией, турецкая армия)
(Кресс фон Крессенштейн, воевал против, Великобритания)
(Кресс фон Крессенштейн, командует армией, германская армия)
(Сарыкамыш, расположена в стране, Россия)
(Суэц, расположена в стране, Египет)
(Турция, враждовал с, Россия)
(Турция, потеряла территорию в пользу, Россия)
(Энвер, воевал против, Россия)
(Энвер, командует армией, турецкая армия)

(Блокада Франции, план повлиял на страну, Британия)
(Блокада Франции, план повлиял на страну, Франция)
(Британия, враждовал с, Франция)
(Британия, реализовал план, Блокада Франции)
(Британия, союзник, Австрия)
(Британия, союзник, Испания)
(Британия, союзник, Португалия)
(Британия, союзник, Россия)
(Военно-морской флот, флот управляется, Британия)
(Военно-морской флот, флот участвовал в, Сражение под Ипром)
(Испания, враждовал с, Франция)
(Наполеон, воевал против, Австрия)
(Наполеон, воевал против, Британия)
(Наполеон, воевал против, Испания)
(Наполеон, воевал против, Португалия)
(Наполеон, воевал против, Россия)
(Португалия, враждовал с, Франция)
(Сражение под Ипром, произошло в локации, Ипр)
(Черчилль, продвигал идею, Мобилизация флота)
(Черчилль, состоит в, Адмиралтейство)



(Блокада, имело следствием, сокращение снабжения Германии продуктами питания)
(Германия, враждовал с, Британия)
(Голландия, союзник, Германия)
(Зима 1916/17 годов, произошло в локации, Германия)
(Прусское министерство сельского хозяйства, состоит в, Германия)
(Соединенные Штаты, враждовал с, Германия)

(Америка, враждовал с, Германия)
(Блокада, использовалась для, Германия)
(Британия, враждовал с, Германия)
(Британия, враждовал с, Франция)
(Британия, реализовал план, воинская повинность)
(Британия, союзник, Италия)
(Британия, союзник, Россия)
(Фридрих Великий, воевал против, Австрия)
(Фридрих Великий, воевал против, Россия)
(Фридрих Великий, воевал против, Франция)
(воинская повинность, план повлиял на страну, Британия)

(Британия, использовала технологию, Дредноут)
(Британия, планировала поделить, Османская империя)
(Британия, предложила, Константинополь)
(Британия, союзник, Балканские страны)
(Британия, союзник, Италия)
(Британия, союзник, Россия)
(Британия, флот участвовал в, Дарданелльская операция)
(Германия, союзник, Турция)
(Дарданелльская операция, использовала технологию, линкор)
(Дарданелльская операция, сторона конфликта, Британия)
(Дарданелльская операция, сторона конфликта, Турция)
(Османская армия, армия принадлежит, Турция)
(Турция, враждовал с, Балканские страны)
(Турция, враждовал с, Британия)
(Турция, враждовал с, Италия)
(Турция, враждовал с, Россия)

(Армяне, восстали в, Ван)
(Армяне, этническая группа, Армения)
(Армяне, этническая группа, Турция)
(Богос Нубар, отказался от поста, правительство Турции)
(Ван, расположена в стране, Турция)
(Галлипольский полуостров, расположена в стране, Турция)
(Депортация армян, имело следствием, голод и болезни)
(Депортация армян, произошло в локации, Турция)
(Лемнос, расположена в стране, Греция)
(Талаат, подписал приказ, депортация армян)
(Турция, враждовал с, Армения)
(Турция, враждовал с, Великобритания)
(Турция, враждовал с, Греция)
(Турция, враждовал с, Египет)
(Турция, враждовал с, Россия)
(Турция, враждовал с, Сирия)
(Турция, враждовал с, Франция)
(Энвер, подписал приказ, депортация армян)
(Ян Гамильтон, командует армией, британская армия)



(Германия, враждовал с, Италия)
(Германия, враждовал с, Россия)
(Германия, враждовал с, Франция)
(Германия, союзник, Австро-Венгрия)
(Железная_дорога, дорога использовалась для, Военный_конфликт)
(Железная_дорога, дорога построена, Австро-Венгрия)
(Франц фон Папен, воевал против, США)
(Франц фон Папен, состоит в, Прусская гвардия)
(Эрих фон Фалькенгайн, командует армией, Германия)
(Эрих фон Фалькенгайн, состоит в, Прусская армия)



(Британские добровольцы, покидали, города)
(Британские экспедиционные силы, использовали, орудия)
(Британские экспедиционные силы, предприняли попытку прорыва, Нев-Шапель)
(Британские экспедиционные силы, стояли, Артуа)
(Британские экспедиционные силы, участвовали в, Первая мировая война)
(Германские позиции, расположены, Нуайон)
(Нев-Шапель, расположен в, Франция)
(Нуайон, расположен в пятидесяти милях от, Париж)
(Первая попытка прорыва, произошла в, Нев-Шапель)
(Первая попытка прорыва, состоялась, 1915-04-10)

(Британцы, использовала технологию, газ)
(Британцы, сторона конфликта, Великобритания)
(Габсбургская империя, враждовал с, Великобритания)
(Габсбургская империя, враждовал с, Франция)
(Германская оборона, сторона конфликта, Германия)
(Германские резервы, дорога использовалась для, Военный_конфликт)
(Железная дорога, дорога использовалась для, Военный_конфликт)
(Сэр Джон Френч, командует армией, британская армия)
(Сэр Дуглас Хейг, командует армией, британская армия)
(Франция, враждовал с, Германия)
(Франция, потеряла территорию в пользу, Германия)
(Франция, союзник, Великобритания)
(Французы, использовала технологию, огневое превосходство)
(Французы, сторона конфликта, Франция)

(Oberost, армия принадлежит, Германия)
(Австро-Венгрия, враждовал с, Россия)
(Австро-Венгрия, потеряла территорию в пользу, Россия)
(Восточный фронт, сторона конфликта, Австро-Венгрия)
(Восточный фронт, сторона конфликта, Германия)
(Восточный фронт, сторона конфликта, Россия)
